Variant,Function,Run,OptimizerSeed,ObjectiveSeed,Population,MaxIter,Dimension,LowerBound,UpperBound,Optimum,BestScore,Curve0,CurveLast,ElapsedSeconds,Status
SCHO,F7,13,1012,4024713,30,500,30,-1.28,1.28,0.0,4.457786551659293e-05,109.2388515683827,4.457786551659293e-05,2.083976599999005,PASS
SCHO,F7,15,1014,4024715,30,500,30,-1.28,1.28,0.0,4.9591094465339935e-06,99.80960290906447,4.9591094465339935e-06,2.0630182000022614,PASS
SCHO,F7,16,1015,4024716,30,500,30,-1.28,1.28,0.0,0.00014586593514698265,118.50476153098273,0.00014586593514698265,2.1029969999945024,PASS
SCHO,F7,19,1018,4024719,30,500,30,-1.28,1.28,0.0,0.00021026431482795704,129.37924729813335,0.00021026431482795704,2.003579800002626,PASS
SCHO,F7,18,1017,4024718,30,500,30,-1.28,1.28,0.0,0.00021633445300472953,146.54341813360404,0.00021633445300472953,2.031292699990445,PASS
SCHO,F7,20,1019,4024720,30,500,30,-1.28,1.28,0.0,2.5783503506016147e-05,134.11199381657298,2.5783503506016147e-05,2.0328296000079717,PASS
SCHO,F7,17,1016,4024717,30,500,30,-1.28,1.28,0.0,0.00057313278933524,142.86321654785507,0.00057313278933524,2.116000599999097,PASS
SCHO,F7,22,1021,4024722,30,500,30,-1.28,1.28,0.0,7.447946452421306e-05,97.89929812706661,7.447946452421306e-05,2.040717299998505,PASS
SCHO,F7,23,1022,4024723,30,500,30,-1.28,1.28,0.0,5.6976333538738544e-05,133.0436737145348,5.6976333538738544e-05,2.0545141999900807,PASS
SCHO,F7,21,1020,4024721,30,500,30,-1.28,1.28,0.0,7.261338490871516e-05,134.48686620550905,7.261338490871516e-05,2.11518100000103,PASS
